,Source,Target,Weight
0,publishers,introduction_to_functional_programming_in_r,1
1,publishers,media,2
2,xamarin,mobile_development,4
3,design_thinking,product_design,8
4,design_thinking,design_strategy,1
5,design_thinking,free_software_foundation,1
6,design_thinking,prototyping,2
7,design_thinking,financial_education,1
8,healthcare_innovation,healthcare_it,8
9,healthcare_innovation,healthcare_startups,3
10,healthcare_innovation,healthcare_solutions,5
11,healthcare_innovation,data_architecture,1
12,healthcare_innovation,web_2.0,1
13,healthcare_innovation,health_and_technology,1
14,healthcare_innovation,health_2.0,5
15,healthcare_innovation,medical_devices,2
16,healthcare_innovation,physician_entrepreneurship,2
17,healthcare_innovation,social_impact,1
18,healthcare_innovation,digital_health,7
19,healthcare_innovation,health_information_technology,4
20,healthcare_innovation,technology,4
21,healthcare_innovation,doctors,1
22,healthcare_innovation,healthcare_professionals,5
23,healthcare_innovation,mobile_health,5
24,helping_non-profits,non_profit_organizations,2
25,helping_non-profits,charity,2
26,civic_hacking,civic_engagement,1
27,civic_hacking,open_data,3
28,apple,ios,7
29,apple,apple_software,1
30,apple,iphone_apps,1
31,apple,mac_user_group,2
32,agile_transformation,scrum,60
33,agile_transformation,coach,1
34,agile_transformation,agile_experiences,2
35,agile_transformation,agile_product_development,3
36,agile_transformation,scaling_scrum,1
37,agile_transformation,coaching_agile_teams,2
38,agile_transformation,agile_portfolio_management,8
39,agile_transformation,scaling_agile,17
40,agile_transformation,agile_program_management,4
41,agile_transformation,product_owners,1
42,online_education_&_technology_for_educators_and_hr,learning,1
43,computational_biology,bioinformatics,4
44,network_marketing,digital_media,1
45,ios_and_android_application_development,ios_development,1
46,humanity,futurology,2
47,gpu,gpu_programming,2
48,php_framework,php5,2
49,php_framework,php,12
50,php_framework,php_html5_nginx_mongodb_linux,2
51,php_framework,php_women,2
52,website_design,web_design,5
53,data_structures,data_security,1
54,data_structures,big_data,3
55,digital_marketing_workshop,digital_marketing,3
56,professionals_of_information_technology,cio_/_cto,1
57,nodeschool,nodejs,1
58,nodeschool,nodebots,1
59,privacy_and_freedom,internet_privacy,3
60,privacy_and_freedom,crypto-anarchy,1
61,wordpress,beginner_php_programming,2
62,wordpress,wordpress_themes,31
63,wordpress,wordpress_customization,28
64,wordpress,web_design,29
65,wordpress,blogging,29
66,wordpress,blogging_to_promote_yourself,3
67,wordpress,writing_for_blogs,2
68,wordpress,wordpress_developers,21
69,wordpress,programming_with_html_css_php_mysql,2
70,wordpress,wordpress_for_business,20
71,wordpress,wordpress_training,11
72,wordpress,wordpress_users,23
73,wordpress,wordpress_websites,21
74,wordpress,vlogging,1
75,wordpress,wordpress_help,15
76,wordpress,blog_marketing,3
77,wordpress,wordpress_small_business_web_sites,15
78,start_a_business,start-up,2
79,graduate_students_and_young_professionals,graduate_students,2
80,graduate_students_and_young_professionals,recent_graduates,2
81,graduate_students_and_young_professionals,university_students,1
82,javascript_frameworks,phonegap,2
83,javascript_frameworks,backbone.js,6
84,javascript_frameworks,angular_2,1
85,javascript_frameworks,sencha_touch,1
86,javascript_frameworks,functional_reactive_programming,2
87,javascript_frameworks,single_page_applications,2
88,javascript_frameworks,reactive_programming,2
89,javascript_frameworks,algorithms_and_computational_theory,1
90,javascript_frameworks,open_source_community,6
91,javascript_frameworks,angular2,2
92,javascript_frameworks,sustainable_frameworks_in_javascript,5
93,javascript_frameworks,javascript,67
94,javascript_frameworks,couchdb,1
