,active_in_topic,lad,lat,lon,org,project_count,recommendations
0,"applications_devices_users, bio_informatics, climate_science, design_&_heritage, development_studies, ecosystems, energy_environmental, environmental_policy, evidence_for_policy, geology, hidrology, minerals_fuels, networks, public_engagement_infrastructure, sociology, systems_infrastructure, transport_communications, visual",Cardiff,51.4845175,-3.1670775,Natural Resources Wales,15,"Urdd Gobaith Cymru, Fugro Robertson Limited, Agroceutical Products, AgriSense-BCS Limited, Arts Council of Wales, 3Gs Development Trust, University of Glamorgan, Conwy County Borough Council, Utility Partnership Ltd, Ebbw Vale & District Trust"
1,"energy_environmental, energy_transport_technology, systems_infrastructure",Caerphilly,51.5707059,-3.2320077,Nuaire Ltd,1,"Swansea University, University of South Wales, Wiltan Limited, Welsh Government, Vale Europe Ltd, Weartech International Ltd"
2,"climate_science, data_methods, visual",Ceredigion,52.4121278,-4.0619087,URSULA Agriculture Ltd,1,"Swansea University, Welsh Government, University of Wales, University of South Wales, Techniquest, University of Glamorgan, Cardiff University"
3,"energy_transport_technology, materials, systems_infrastructure",Cardiff,51.5298324,-3.0821715,Gyrus Medical Ltd,1,"Swansea NHS Trust, Swansea University, Morriston Hospital, SPTS Technologies, Micro Materials Ltd, Micro Materials Limited"
4,"chemistry_biochemistry, imaging, modelling_measurement, photonics_imaging_quantum, prosthetics_robotics_health, systems_infrastructure",Cardiff,51.527075,-3.1860119,BBInternational (British Biocell),4,"Swansea University, Sharp Manufacturing Co UK, University of Glamorgan, Swansea NHS Trust, Welsh Government, University of Wales"
5,"archaeology, classic_religious_history, climate_science, design_&_heritage, ecosystems, environmental_policy, health_social_issues, linguistics, literature, media_performance, medieval_modern_history, military_history, political_history, public_engagement_infrastructure, social_history",Ceredigion,52.1138866,-4.0759084,University of Wales Lampeter,8,"University of Wales, Welsh Government, RCAHMW, Gwynedd Archaeological Trust, National Museum Wales, Denbighshire County Council, Cardiff Council, University of South Wales, WJEC, Nu Instruments Ltd"
6,"cognition_&_audio, computer_science, design_&_heritage, drug_tests, economics, energy_environmental, energy_transport_technology, environmental_policy, evidence_for_policy, health_interventions_policy, industrial_application, materials, mathematics, media_performance, modelling_&_sensors, psychology, public_engagement_infrastructure, respiratory_system, security, social_history, systems_infrastructure, transport_communications, visual",Rhondda Cynon Taf,51.594181,-3.3190901,University of South Wales,13,"Kennametal Sintec Keramik UK Ltd, Morgan Electroceramics, Sharp Manufacturing Co UK, Alun Griffiths (Contractors) Limited, Corus Strip Products UK, Dyesol UK Ltd, Welsh Government, Morgan Advanced Materials and Technology, Ceredigion Museum, Centre for Business & South Wales CoC"
7,"agriculture_plant_biology_entomology, bio_informatics, cells_cancer, climate_science, data_methods, disease_infection_health, drug_tests, ecosystems, environmental_policy, epidemiology_immunology, experiments, health_interventions_policy, materials, modelling_measurement, neurology, obesity_metabolism, prosthetics_robotics_health, psychiatry_mental_health, respiratory_system, surgert_cardiology, systems_infrastructure, visual",Cardiff,51.5067644,-3.1893603,Cardiff & Vale University Health Board,20,"Welsh Government, Weartech International Ltd, Welsh Water (Caernarfon), Wiltan Limited, WISERD, Welsh National Opera"
8,"energy_transport_technology, prosthetics_robotics_health, systems_infrastructure",Swansea,51.6096175,-3.9806297,Boots Centre for Innovation BCI,2,"Morriston Hospital, Micro Materials Ltd, Micro Materials Limited, SPTS Technologies, Morvus Technlogy Ltd, HAEMAIR LTD, Kennametal Sintec Keramik UK Ltd, Haemometrics Ltd"
9,"applications_devices_users, energy_environmental, energy_transport_technology, environmental_policy, systems_infrastructure",Swansea,51.6189511,-3.9413826,S&C Electric Europe Limited,2,"Welsh Government, WISERD, University of Wales, University of Glamorgan, Welsh Local Government Association, SPECIFIC (Innovation and Knowledge Ctr), The National Library of Wales"
